"screenName","description","statusesCount","followersCount","favoritesCount","friendsCount","ff_ratio","norm_ff_ratio","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","retweetCount","isRetweet","retweeted","longitude","latitude","pull_date","following_client"
"couchpotatoco0k","Blending a love of #food & pop culture. By @MalloryCarra, food and entertainment journalist #foodblog Inquiries: food[at]https://t.co/536h0E35Ft",1440,1577,1902,2528,0.623813291139241,-1.5757152059473,"Just an epic small shaved ice at @snowopolis Ì†ΩÌ∏çÌ†ΩÌ∏çÌ†ΩÌ∏ç #vinewhatyoueat #Foodie #foodporn https://t.co/8nUPf35i34",FALSE,0,NA,2016-06-12 07:58:06,FALSE,NA,"741902381236031489",NA,"vine.co",0,FALSE,FALSE,NA,NA,"Sun Jun 12 03:59:07 2016",0
"pmi_expert","Private Medical insurance Whatever the ? no matter how LARGE It may seem. Proud to achieve #vitalityPlatinum status These words are my own from my heart though",4633,273,510,1113,0.245283018867925,-3.47892291664083,"RT @PRAnnaAddison: Stunning lunch @TheStaratHarome at a table with a view! #foodie #yorkshire https://t.co/UR670Wokp8",FALSE,0,NA,2016-06-12 07:57:42,FALSE,NA,"741902280123912192",NA,"iphone",4,TRUE,FALSE,NA,NA,"Sun Jun 12 03:59:07 2016",0
"FoodNasta","Follow US for Best Food Images from all over the World

#FoodNasta",123278,3932,11,0,Inf,Inf,"RT @airmogankiko: Cooked spaghetti for merienda..  

#weekend #familytime #sunday #merienda #foodie https://t.co/VeOgmhixRZ",FALSE,0,NA,2016-06-12 07:57:08,FALSE,NA,"741902139950301184",NA,"foodnasta.com",1,TRUE,FALSE,NA,NA,"Sun Jun 12 03:59:07 2016",0
"dawntorch1973","TRUMP...Hockey ‚óè(Sabres)(‚ô°GOALIES‚ô°)The Unknown, Las Vegas 702, I‚ô°tattoos/beards,* SHOES  PURSES, PINK, CUPCAKES^SPRINKLES~ I‚ô°ANIMALS^CATS/FAMILY*GEMINI‚ô°COUGAR‚ô°",21312,1395,27694,1134,1.23015873015873,-0.191190824732781,"RT @JoshDenny: This is why I spend all week in the gym. I can eat whatever I want, and still look great! #foodie #fitness #blessed https://‚Ä¶",FALSE,0,NA,2016-06-12 07:57:02,FALSE,NA,"741902114511802368",NA,"android",72,TRUE,FALSE,NA,NA,"Sun Jun 12 03:59:07 2016",0
"thefoodbot","Tweet any food and get a retweet with the food's nutritional values. Currently accepting requests by invitation only.",38808,1695,38626,244,6.94672131147541,3.33844059713368,"RT @NorthLondonTav: #brunch until 1pm today #foodie #food #London #nw6 #eggsbenedict anyone? https://t.co/KHk3DfMDCs",FALSE,0,NA,2016-06-12 07:56:33,FALSE,NA,"741901993095073792",NA,"github.com/GirishRawat",2,TRUE,FALSE,NA,NA,"Sun Jun 12 03:59:07 2016",0
"AsmitaMadhu","VFX, Animation, GAMING PRODUCER, Writer, blogger, foodie, Ex Editor of TOI Supplement. Crazy, Fun, Sarcastic, Odd and even",7452,1013,4135,160,6.33125,3.14928554539443,"Been feasting on amazing Sunday Brunches past couple if months! It's legendary basics today #SundayFunday #Foodie #Blogger",FALSE,0,NA,2016-06-12 07:55:25,FALSE,NA,"741901706070392832",NA,"iphone",0,FALSE,FALSE,NA,NA,"Sun Jun 12 03:59:07 2016",0
"Mythirdybaby","",7839,709,2396,1409,0.50319375443577,-2.01383015517837,"RT @RoyNortje: Honey Garlic Sriracha Drumsticks ~ Finger lickin' good ! #foodie

Recipe: https://t.co/xgmO5NfBAH https://t.co/8thRRWH0kI",FALSE,0,NA,2016-06-12 07:55:23,FALSE,NA,"741901697253937152",NA,"twitter.com",42,TRUE,FALSE,NA,NA,"Sun Jun 12 03:59:07 2016",0
"saGEMom","Founder - Hawaii Mom Blog / Hawaii Mom Travels ‚Ä¢ Reviewer | Traveler | Brand Ambassador ‚Ä¢ @hawaiimomblog @hawaiimomtravel",30350,13548,301,7902,1.71450265755505,0.485690034490961,"RT @OurFamilyWorld: Even your picky #kids will love these  #spinach #recipes! Try them tonight! https://t.co/cAtYgUihdp #foodie",FALSE,0,NA,2016-06-12 07:55:10,FALSE,NA,"741901642673442816",NA,"iphone",1,TRUE,FALSE,NA,NA,"Sun Jun 12 03:59:07 2016",0
"DiningAfterDark","Elegant and Romantic Dining for After Dark.",7436,172,0,100,1.72,0.492217127964804,"A 6-Move Circuit You Can Do Without Leaving ... - https://t.co/JyOim1grtK #food #foodie #foodporn https://t.co/n5RpHJQUVQ",FALSE,0,NA,2016-06-12 07:55:08,FALSE,NA,"741901636130459648",NA,"diningafterdark.xyz/",0,FALSE,FALSE,NA,NA,"Sun Jun 12 03:59:07 2016",0
"KilburnHerald","Kilburn & NW London independent news. 'We are all in the gutter...' DM or email your story. RADIO: #KilburnHeraldShow. RT is not endorsement.",32523,6418,2767,6019,1.06629008140887,-0.482670573723254,"RT @NorthLondonTav: #brunch until 1pm today #foodie #food #London #nw6 #eggsbenedict anyone? https://t.co/KHk3DfMDCs",FALSE,0,NA,2016-06-12 07:54:46,FALSE,NA,"741901542459113472",NA,"ipad",2,TRUE,FALSE,NA,NA,"Sun Jun 12 03:59:07 2016",0
"NorthLondonTav","Kilburn's favourite son.",845,1556,390,545,2.85504587155963,1.52546842796947,"#brunch until 1pm today #foodie #food #London #nw6 #eggsbenedict anyone? https://t.co/KHk3DfMDCs",FALSE,2,NA,2016-06-12 07:54:31,FALSE,NA,"741901479917846528",NA,"iphone",2,FALSE,FALSE,NA,NA,"Sun Jun 12 03:59:07 2016",0
"theblissfulbal","Sharing a mix of healthy and indulgent recipes that are always simple and delicious. Co-founder @thebgbcommunity",13129,990,2532,456,2.17105263157895,0.967057185886006,"How to Be Productive While Working from Home https://t.co/WdpzBKaI5m #foodie #food #cook",FALSE,0,NA,2016-06-12 07:53:44,FALSE,NA,"741901282386939904",NA,"www.ajaymatharu.com/",0,FALSE,FALSE,NA,NA,"Sun Jun 12 03:59:07 2016",0
"kervy_james27","I'm proud of my heart, it's been played, stabbed, cheated, burned & broken, but somehow still works.",50,7,5,91,0.0769230769230769,-5.84327029576936,"FOODIE ATTACK ‚ù§Ô∏èÌ†ΩÌ∏ãÌ†ΩÌ∏éÌ†ºÌΩ¥Ì†ºÌΩΩÌ†ºÌΩïÌ†ºÌΩóÌ†æÌ∑ÄÌ†ºÌΩ£Ì†ºÌΩü
#foodie #foodfie #foodporn #foodforthought #foodgasm #instafood‚Ä¶ https://t.co/DbEeblpVcI",FALSE,0,NA,2016-06-12 07:53:08,FALSE,NA,"741901134558863360",NA,"instagram.com",0,FALSE,FALSE,"123.7459173","9.5794985","Sun Jun 12 03:59:07 2016",0
"ItalianGrocery","Welcome to http://t.co/rrga1F7MX9 our goal is to provide the highest quality imported & domestic #italian #food delivered to your home or business. #USA #Canada",89948,77055,8025,61365,1.25568320703984,-0.149318301731522,"@FlockBNusa, for the #foodie in your life #shop https://t.co/6mPmj9DgNy",FALSE,0,"FlockBNusa",2016-06-12 07:52:47,FALSE,NA,"741901044641206272","724917943340007424","www.gourmetitalian.com/",0,FALSE,FALSE,NA,NA,"Sun Jun 12 03:59:07 2016",0
